State,Name,Website,Description
IN,"Overcoming Obstacles CEO Program
Community for Education Foundation",http://www.overcomingobstacles.org,"Abstract: The Community for Education Foundation's Overcoming Obstacles CEO Program (Creating Enterprises and Opportunities) is a youth entrepreneurship education program. It has been operating since 1993, working with at-risk high school students in schools in south-central and east Los Angeles, and is soon to expand to other high schools throughout the United States, including those in Indianapolis.

Teachers are trained in the CEO curriculum and interactive teaching methods, and students leam concepts of entrepreneurship through classroom workshops and the creation of group or individual school-based businesses. The semester-long course culminates in a comprehensive business plan. The CEO program offers schools teacher training, a written curriculum approved for use in the Los Angeles Unified School District, classroom support, consulting services, and microloans for students with exceptional dedication."
IN,"Purdue University Calumet
Entrepreneurship Training for Practicing Business Owners",none listed,"Focus: Community-based university program for entrepreneurs

Abstract: The Entrepreneurship Center Vision: 
A growing regional economy with a competitively efficient entrepreneurial base.

Mission: The Mission of the E-Center is to stimulate economic growth in the region through academic & non-academic action-oriented programs in keeping with Purdue University Calumet's strategic goal of becoming more active in the economic development of the region.

Programs:

Non-Academic
""ENTREPRENEURSHIP PROGRAM"" for Experienced Full-Time Business-Owners
To enhance their abilities to compete more effectively
""BUSINESS-OWNERS FORUM"" - for Second-Stage businesses
To provide an enabling environment for them to collectively set the pace for economic growth in the region through peer-to-peer counseling.
""Aspiring Entrepreneur Program"" (A-Program) - for Aspiring Entrepreneurs
To assist in properly and systematically identifying opportunities for Self-Employment and Business start-up.
BUSINESS-OWNERS ASSOCIATION"" - Currently with 400+ members
Provides sustaining educational, business and networking opportunities. Membership Levels: Regular, Sustaining, & Charter.
""SOUNDING BOARD"" - Business-Owners volunteer their expertise to provide assistance to others; public service to stimulate economic development in the region.
Academic
Undergraduate Courses in Entrepreneurship
ENTR 100 ""Introduction to Entrepreneurship""
ENTR 300 ""Small Business Management""
ENTR 320 ""How to Write a Business Plan""
BA-391 (Business-Internship) students of Business/Management assigned as interns for business owners, based on their courses & Majors and project-based needs of individual businesses
BA (Business), with Minor in Entrepreneurship
""Small Business Institute"" (SBI) - offering free student-based consulting services for owners of small businesses."
IN,Purdue University,www.purdue.edu/dp/Entrepreneurship/certificate.php,"Abstract: The Certificate in Entrepreneurship and Innovation aims to inspire and teach students in all disciplines to be innovators and entrepreneurs, whether they choose careers in start-up ventures or large organizations. Through a series of five three credit courses and related experiential programs, students learn the theory and practice related to starting and running new business ventures. Upon completion of the requirements, students receive an official certificate and it will be recorded on their academic transcripts.

Dr. Liu proposed and developed one of the three core courses entitled ""Marketing & Management for New Ventures"" (formerly ""Entrepreneurship and Innovation II""). It provides students with an in-depth study of specific areas related to starting and running new business ventures. Topics include:

Understanding the components of the business plan
Market research, analysis, and planning
Sales and distribution strategies
Financial tools, statements, forecasts
Managing the process/project management
Leadership, team building, and ethics
Unique Features of the program include:

Offers students a unique, multidisciplinary experience
Provides an additional educational credential
Develops hands-on skills for work and life
Enhances job prospects and choices"
IN,Westfield High School,www.wws.k12.in.us/whs/,"Abstract: Entrepreneurship is a Career and Technical Education program under our Business, Management and Finance curriculum. Any student may take Entrepreneurship courses. There are no prerequisites for these classes. Westfield High School has a diverse cultural and socioeconomic population. All students are encouraged and welcome to enroll in Entrepreneurship.

Westfield offers Entrepreneurship I, II, and III. Students can also enroll in our Entrepreneurship Academy which requires all of the entrepreneurship courses along with a course titled Entrepreneurship Professional Internship. This curriculum is based upon the National Standards for Marketing, Management, Entrepreneurship, and Business Administration.

Entrepreneurship I covers subjects such as identifying business opportunities, communication and math skills, economics, types of ownership, market research, and developing a business plan. This course uses the textbook ""Entrepreneurship Ideas in Action"" by Cynthia L. Greene.
Entrepreneurship II students create a complete business plan for a business which is feasible for a high school student. The first two weeks are spent brainstorming business ideas, names, and logos. The rest of the trimester is used to study each section of the business plan and research realistic prices. The students then incorporate this information into their actual plan. These students are required to have a mentor in the business world. We use the NXLevel curriculum developed by The US West Foundation, University of Colorado at Denver.
Entrepreneurship III students run the school's bookstore, The Shamrock Shop, along with other ""Apprentice"" type competitions. Students are responsible for keeping inventory, cash records, and marketing.
All of these courses include hands on activities, guest speakers, and field trips. The Hamilton County Alliance (HCA) is an organization devoted to promoting economic development in Hamilton County Indiana. They also sponsor an event called ""Spotlight on Entrepreneurship"" where students attend a one day conference about entrepreneurs. This years spotlight featured the ""Extreme Entrepreneurship Tour."" The HCA also provides guest speakers from the community and locations for field trips.

The school is unique because we offer an entrepreneurship academy for students who are interested in owning their own business. Students who plan to be dentists, beauticians, and business people are enrolled in the academy. The students also have the opportunity to present their business plans to three different audiences: classmates as final exam, Hamilton County Alliance competition, and DECA.

My students also do computerized lessons using a virtual business simulator. They will compete with other students to see who can be the most successful in managing a convenience store."
IN,Zionsville Community High School,www.zcs.k12.in.us/zchs/index.htm,Abstract: We offer a full year course in Entrepreneurship that will introduce High School Juniors and Seniors to the skills needed in Entrepreneurship
IA,"""Camp"" Enterprise, Iowa",none listed,"Focus: Junior and senior high school girls, community-based organizations in partnership, educators in Iowa schools, and displaced homemakers

Abstract: Iowa ""Camp"" Enterprise is the beginning of numerous statewide and community partnerships to further the entrepreneurship dream in our state. Use of our new statewide fiber optic network increased awareness of finance and marketing principles among potential business owners. Increased knowledge of small-business principles among teens and teen educators was achieved with the ""camps."" Small business is the future economic development in the state. Business success comes with entrepreneur/business education."
IA,"Decorah High School
Entrepreneurial Training Using Multi-media/Computers",none listed,"Focus: High School / 9th Grade Students

Abstract: The program is geared for all 9th graders at Decorah High School. Other business/marketing students do utilize certain enhanced parts of the program.

The class is called Essential Skills I, all of the 9th grade students will explore seven units of instruction aligned with the federal SCANS Report, the Secretary's Commission on Achieving Necessary Skills. The units covered will include economics, law, global understanding, personal finance, entrepreneurship, and marketing. Each unit introduces key concepts in context-based, hands-on problem-solving activities using Microsoft Office 2000 computer applications. The entire learning experience of Essential Skills I will be interactive with student progress maintained through an electronic journal.

The Entrepreneurship Unit provides students with the opportunity to learn about entrepreneurship and small businesses. Students study the traits of an entrepreneur and the steps necessary to start a business. They learn the secrets of how and why a business succeeds or fails and then have the opportunity to start their own business. Hands-on activities include using Microsoft Word to prepare a partnership contract, design a company logo and write a business plan. Students design a T-shirt concept with Microsoft Word and use Microsoft Excel to work through an analysis of cost of goods, profit and pricing.

Finally, students develop a PowerPoint presentation of their business plan and then actually produce a finished product using a heat-transfer press. Conference participants will be taken through a few examples of the actual program. Laptops or computers will be used."
IA,Luther College,www.luther.edu,"Focus: Experiential learning on college campuses

Geographic Area: Iowa

Abstract: While in the middle of a snowstorm, have you ever imagined teaching a class or workshop on the warm, sun-bleached beach of a tropical island? Would having nice cold refreshments served from a refrigerator located close-by appeal to you? Well, teaching entrepreneurship can involve both of these ""daydreams"" and get students excited about the possibilities of becoming an entrepreneur. This presentation will focus on how to involve students in this daydream, how to help them learn things usually not found in the traditional classroom, and how to have fun doing it.

Experiential learning may be the missing link in many entrepreneurship courses taught on college campuses today. The many skills necessary to start and run a business can be taught using textbooks, case studies, and exercises in class, and can be enhanced with good class discussions and maybe even examinations. But the spirit and excitement often expressed by entrepreneurs is something that must be ""felt."" Experiential learning allows students to apply theories by seeing and visiting entrepreneurs in their own settings and/or giving them the opportunity to become and entrepreneur and learn by doing. The following examples illustrate how the program has incorporated experiential learning both inside and outside the classroom.

Tourism is the world's largest industry and is becoming a welcome and lucrative option for isolated economies when there are natural resources to attract visitors. For the last twelve years, we have been examining the economic development of these isolated areas and have been intrigued by the similarities, challenges, and opportunities that face these communities. While teaching an intensive three-week course during January, we involved students in a collaborative research project that focused on the development of island economies. We used the Islands of the Bahamas and the Canary Islands as the classroom. By using isolated areas which function like island nations for the focus of our study, we could see within a relatively compact geographical area how all the pieces of the economic puzzle fit together. Students were immersed in the new culture, conducted environmental scans, and identified and interviewed key individuals who were instrumental in changing the community and providing leadership for an economy supported by tourism. Entrepreneurs and small family businesses thrive in these communities, and by seeing and meeting these individuals in their own setting we could bring the entrepreneurial spirit to life.

Outside the classroom but back on campus, an entrepreneurship club was created and was exploring ways to raise money to support activities, research, and trips to CEO conferences and regional SIFE competitions. While researching the market, a local businessman approached the club with the opportunity to buy his business - renting refrigerators on the college campus! The motivation was money, but the experience has helped students develop the skills needed to become entrepreneurs. The students struggled with strategic planning and develop the day-to-day operational programs needed to run a successful business. Courses in marketing finance, accounting and human resource management may have provided them with the theory, but operating this business has helped them feel the spirit and the enthusiasm (and the work) needed to establish and operate their own business.

Inventory is ""sold out"" again for the seventh consecutive year, and current members are faced with making decisions regarding the purchase and upkeep of more refrigerators in order to support the club in subsequent years. Planning how to transfer the business from one generation of students to the next is another major concern challenging these entrepreneurs.

In summary, experiential learning can provide students opportunities not usually afforded in a traditional classroom. Both projects have been highly participatory and interdisciplinary in nature. The study abroad course has also provided students with a multi-cultural experience, and a break from the January snowstorms of eastern Iowa. Learning can take place in many environments - even near the sun, the sand, and the sea - or through a frig!"
KS,Garden City Community College,https://www.gcccks.edu/,"Focus: Management/Marketing Program

Geographic Area: Kansas

Age Level: Post secondary, culturally diverse-large Spanish and Vietnamese populations, traditional and non-traditional students; many are skills-seeking or personal growth oriented.

Abstract: Curently planning to integrate entrepreneurship into the business curriculum and also establish a certificate program for entrepreneurship."
KS,"Haskell Indian Nations University, 
Center for Tribal Entrepreneurial Studies (CTES)
Building Nations for Economic Self-Sufficiency",none listed,"Focus: University, Native American entrepreneurship

Abstract: The Center for Tribal Entrepreneurial Studies (CTES) was established in 1996 to bring the entrepreneurial spirit to American Indian and Alaska Native individuals and communities. The emphasis is on a holistic, Native-American-values-based program that encourages self-sufficiency. In addition to the long-term educational component of a degree program at the higher education level, CTES provides training to elected tribal leaders in developing entrepreneurship-friendly communities, and has established a youth component with the current Haskell Elementary Teacher Education program.

CTES is a new component of the business program at Haskell Indian Nations University in Lawrence, Kansas. In 1996, the Kauffman Foundation provided the center a three-year grant to achieve three goals:

Develop an associate of arts degree in culturally relevant entrepreneurship
Incorporate entrepreneurial components with the university teacher-education program serving grades one to eight
Provide training in entrepreneurship and teaching entrepreneurship for tribal leaders and members.
A unique training program offered is the Community Innovation and Renewal through Creative Learning and Entrepreneurship case study development held in conjunction with Babson College. The program is focused on developing a cadre faculty from across the nation that have the skills and networks to develop curriculum and case studies on successful Native American entrepreneurs. The case studies incorporate the Native American storytelling way of learning through development of a video."
KS,"Hutchinson Vocational Center,
Reno Entrepreneurial Development Institute . . REDI",none listed,"Focus: Innovative, student-centered, countywide learning center housed in a local business incubator.

Geographic Area: County-wide for Hutchinson Public Schools

Products and Services: High school students' focus is on the integration of academic and applied entrepreneurial studies and skills

Age Level: Students in grades 11 and 12

Key Partners: Teachers, administrators, and business community who collaborate to benefit the school.

Abstract: The goal of REDI is to create a school that provides learners with exceptional opportunities in entrepreneurial studies that result in the knowledge, behaviors, and skills essential for success in the changing twenty-first-century world of work

REDI is located within an incubator for small business called the Quest Center. There are currently over 25 businesses housed at the Quest Center. An advisory board, consisting of county superintendents and business and community partners, has been established. The advisory board provides leadership, guidance, and accountability.

Students are not constrained by the traditional ""40-minute period,"" but rather have an extended block of time that is conducive to meaningful, engaged learning. Students choose between a morning and afternoon class that run for three hours each.

Juniors and seniors from all county high schools are eligible to make application to REDI. Up to 30 students per year are selected. Student selection criteria include school attendance, self-motivation, perseverance, goals, etc.

Students explore the concepts of entrepreneurship and ""intrepreneurship"" not only with the instructor and fellow students, but also in the ""real world of work"". Special attention is given to providing student encounters with entrepreneurial opportunities and careers not readily apparent to them. They will understand that the art of being a successful entrepreneur has a lot to do with having certain intangible personal characteristics, such as leadership skills, people skills, planning skills, and management skills. Students use software such as Office 2000, QuickBooks 2000, and FrontPage 2000 to complete the REDI curriculum. Students create business plans and present their ideas to advisory board members, administrators, and business leaders. Two classroom business simulations are run through REDI. REDI Print is a direct print/computers graphics business that also generates the REDI Newsletter. Squawkwa is a bottled water wholesale distribution company. Both companies are student run and organized. Students are encouraged to start their own businesses as well."
KS,"Olathe East High School, 
Hawks Nest",none listed,"Focus: School store

Age Level: High school grades 10-12

Abstract: During the school year over 80 students will be a part of the management class. The students' abilities range from the gifted class to those with special needs. The Hawks Nest will be open to a student body of 1,300 students in grades 1–12.

Students in the management classes will have the opportunity to operate a retail store within the walls of Olathe East High School. For example, they will be responsible for product selection, inventory, pricing, advertising, and publicity.

The management classes are also working with other classes in the school to involve students from numerous academic areas. One example of this is the commercial art class that will design a new license plate that will be sold in the Hawks Nest.

Another example of cross-curricular education is the Olathe East greeting-card line. An English class will design the copy; an art class will create the covers. The cards will be printed in a computer class and will then be sold by the management class. A single card will have the collaboration of at least 4 or 5 students.

One key element of the Hawks Nest is giving the students the authority to make decisions and having them see the immediate results of their choices. Their decisions will have a much greater impact than just getting a right or wrong answer on a test.

Another unique feature is the number of students that can be involved without actually having to be in the class. (i.e. English1, Art, Computer, Fashion)."
KS,University of Missouri-Kansas,www.umkc.edu/egrc,"Focus: Wide diversity of students - many international students interested in learning American business models as well as non-traditional students coming back to school to learn about entrepreneurship and have the opportunity for experiential learning with a seasoned entrepreneur as a mentor.

Geographic Area: Missouri

Age Level: Undergraduate and graduate students majoring in Business Administration and Computer Science. Wide diversity of students - many international students interested in learning American business models as well as non-traditional students coming back to school to learn about entrepreneurship and have the opportunity for experiential learning with a seasoned entrepreneur as a mentor.

Abstract: The Kauffman Entrepreneurial Internship Program Course (KEIP) program at UMKC is a multi-dimensional program involving a 3 credit hour course and a 300-hour work assignment with the CEO of a local entrepreneurial business. The program is designed to give students opportunity for experiential learning and to observe first hand what's involved in owning a business on a daily basis, while offering project assistance to small businesses at an affordable rate. Students become University employees ""loaned"" to the host businesses, thus freeing the business of employment paperwork and taxes. Midway through the semester host businesses remit approximately 2/3 of the students' stipend to the University, with the remainder covered by grants and endowment funds.

Student work assignments in the host businesses are project focused - marketing promotions, research, financial analysis, financial planning, web site development, etc. The only requirement is that the student is included in strategic planning, team meetings, customer meetings and other events, which will provide insight into the daily operations of the business.

The course deals with basic concepts of for-profit entrepreneurship, as well as social entrepreneurship, with special focus on local entrepreneurs. Periodically through the semester the group travels to visit an entrepreneur. Other times the entrepreneur's come into the classroom to share their experiences. A portion of each class is a free forum where students relate their learning experiences from their work.

First class assignment is for students and their hosts to sit down together and develop a ""Terms of Engagement Letter"" describing the projects that the intern will work on; a confidentiality agreement; and a project timeline that will be used to measure job performance. At the conclusion of the course students and hosts come together for a dinner and presentation by the students describing their learning experiences and the future plans."
KS,Youth Entrepreneurs of Kansas,www.yeks.org,"Focus: High School

Abstract: Entrepreneurship is more than just owning a business. It is an approach to life, a way of thinking, an option for the future. This mindset of self-reliance and accountability is the underlying premise of Youth Entrepreneurs of Kansas, Inc. With more than 600 students enrolled annually, this non-profit is beginning its second decade of helping young people learn business skills that can help them be self-sufficient, productive citizens.

Youth Entrepreneurs of Kansas (YEK) focuses on three goals:

to provide the knowledge for students to start and maintain their own business;
to help students understand how to apply that knowledge and be a better employee for others (to act like an owner); and
to encourage students to pursue higher education.
Students enroll in YEK as a business or life skills elective, and receive credit for the course, just as they would math or English. As a part of the class, students write and present business plans. A panel of local business and community leaders judge the plans based on such criteria as viability, competitive advantage and goal-setting rationale.

YEK is a licensee of NFTE, The National Foundation for Teaching Entrepreneurship. The program uses NFTE's curriculum, which strongly emphasizes experiential learning to teach students essential business skills. Access to business professionals also has proven to be an essential component for success in the classroom. YEK instructors frequently invite speakers to share their successes, failures and advice with students. YEK's comprehensive program extends beyond the classroom, giving students the opportunity to compete for venture capital grants, earn college scholarships, participate in summer business partnerships and become YEK Ambassadors (a program for YEK graduates that emphasizes leadership and community service).

While the classroom education is the core of YEK, staff members are able to continue to encourage entrepreneurial attitudes through these additional programs. One such opportunity is with the summer business partnerships. Each summer, several area businesses, such as Salomon Smith Barney and Cessna Aircraft Company, host 12-15 students. The students spend several weeks learning about all aspects of the company.

During the Salomon Smith Barney program, for example, each student is paired with a financial consultant. The students meet individually with their consultant, as well as with the rest of the group, to learn about various aspects of the financial services industry. At the end of the summer, students present what they have learned about the industry, and information on a specific stock they tracked throughout the summer. The top two students win an all-expense paid trip to New York City, where they tour Wall Street, the Salomon Smith Barney international headquarters, and many other popular New York venues.

YEK is offered in 12 public high schools in the Wichita and Topeka areas. Enrollment is open to all students, but the program is specifically targeted at youths who are considered at-risk. Indeed, the program's premise is that students who have experienced adversity often possess street smarts that - through education - can be parlayed into entrepreneurial skills."
KY,Bellarmine University,www.bellarmine.edu,"Abstract: The focus of this program is to build interest in entrepreneurship in the students. The students should be inspired and motivated by the program, and will build their knowledge of entrepreneurship from those who have the experience.

How do you excite entrepreneurship in students? I believe the best way to do this is to let them hear from others who have been successful and from some who were not initially but did not give up. While it may not be feasible or even possible to get Bill Gates, Michael Dell, Jim Bezo, etc. to come to your class I do not believe this is necessary. Following 20 + years as an entrepreneur who has had both successes and failures and doesn't mind talking about either, I discovered an excitement in my classroom that I have not discovered in the multitude of cases and textbook readings we have covered. As an adjunct professor during eight of my entrepreneurial years I was reluctant to share many of my ""war"" stories for fear of class turning into my life story. However, as I have joined the full time faculty ranks I have discovered that when properly selected and focused, my experiences have brought concepts, theories and the occasional sleepy student to life. I noticed that the students' level of engagement was increased significantly during these discussions; yes discussions, not just telling ""war stories"". I involved the students and had learning objectives with each discussion.

This brings me to the idea that I have tested albeit on a limited basis. After evaluating the higher level engagement of the student (both undergraduates and graduates) I decided that one of the reasons they were more engaged is that the case comes to life with my involvement and inside information. This led me start the development of a series of taped interviews of experienced entrepreneurs from the region. These entrepreneurs would be recognizable to the students due to the product, service, the local media coverage or the like. Some of the students I have found even know these entrepreneurs and can often make the connection for the instructor. I have been able to tap into the contacts I made in my 20 + years as an active business and community representative.

My strategy is to develop a series of tapes which would be focused on various topics I would cover in a typical semester of classes. With a series of seven tapes I can utilize one approximately every other class to supplement the topic in the textbook and discussion. An added bonus is that by only using each taped interview once a semester, most entrepreneurs are willing to come to the class and provide a Q & A session. Where this practice has been tested, the students rave about the session and continue to reference the video discussion for weeks following the showing and entrepreneur's visit. Additionally, the students continue to apply what they learned to subsequent class topics.

Sample topics might be:

Startup (where did you get the business idea? What motivated you to go out on your own?)
Financing the business at startup and in the growth phase?
Challenges faced by entrepreneurs (Most exciting and most frustrating moments.
Recommendations for anyone embarking on a similar project:

Do your homework on the company and have students do the same; go into class prepared and well versed on the company and the entrepreneur.
Set time limit for the video showing (break it into segments) (one entrepreneur interview was 45 min long).
Plan your class schedule well in advance so you can get the entrepreneur to come to the appropriate class (prepare yourself for last minute cancellations-have a backup plan).
Bellarmine University serves Kentucky and the region by providing an educational environment of academic excellence in the Catholic liberal arts tradition, where talented and diverse persons of all faiths and ages develop the intellectual, moral, and professional competencies to lead, to serve, and to make a living and a life worth living. Opened in 1950, Bellarmine enrollment currently numbers 1979 in 41 majors and 24 minors and 8 graduate degrees. The campus is located on 135 acres in Louisville, Kentucky."
KY,Berea College - Entrepreneurship for the Public Good,www.berea.edu/epg,"Geographic Area Served: Appalachian Region

Services: Entrepreneurship for the Public Good undergraduate 2 summer program, consulting with student business owners, newsletter and resource materials.

Age Levels Served: Undergraduate

Key Partners: Berea College Center for Excellence in Learning Through Service (CELTS), Brushy Fork Leadership Institute, Berea College Appalachian Center, Mountain Association for Community and Economic Development, SBA, Center for Rural Development.

Abstract: According to the Appalachian Regional Commission, the best hope for stabilizing and diversifying Appalachia's economy lies in the creation and expansion of businesses that provide jobs, build local wealth and contribute broadly to economic and community development. The need to expand and support entrepreneurial activity as a means for revitalizing Appalachian communities led to the creation of Berea College's Entrepreneurship for the Public Good (EPG) program. This interdisciplinary program seeks to equip students of all majors to be agents of change and to connect them with entrepreneurs working to realize Appalachia's economic and social potential. Through the program, students learn how small businesses and nonprofit agencies employ socially responsible practices to provide jobs and build healthy communities.

The EPG program, launched in 2002, includes a two-year entrepreneurship and leadership program, expanded entrepreneurship curriculum offerings, and campus-wide entrepreneurship and leadership activities. At the heart of the EPG program is the EPG Summer Institute. Through case studies, reading, guest lectures, field trips, and team projects, participants explore entrepreneurship, leadership, and community development in the context of Appalachian communities. Students are taught by an interdisciplinary team of faculty and leaders in the field. Students are assigned a community-based project, which they must complete during the first summer. Trips to various businesses and organizations in the region offer opportunities to apply what students learn in the classroom. Students receive eight academic credits for the Summer Institute experience and are paid a stipend for their work ($2,800 per summer) which meets daily from 9 a.m. to 3 p.m.

During the second summer, EPG Fellows participate in the James Bowling Entrepreneurial Internship Program, which offers opportunities for students to work with businesses or nonprofit enterprises. Interns will individually work with EPG and other faculty members to create portfolios that will help assess each student's learning with a focus on his/her integration of entrepreneurship, leadership and public good principles. The ultimate goal of the Entrepreneurship for the Public Good program is to engage Berea students in entrepreneurship and leadership activities, in order to enable them to:

Explore theoretical and practical approaches to entrepreneurship for the public good in the context of sustainable economic development in Appalachia and beyond;
Develop entrepreneurial and leadership skills;
Engage in academically rigorous and critically reflective, service-learning projects, designed in partnership with regional businesses and nonprofit organizations;
Prepare for meaningful work lives; and
Add value to small businesses and nonprofits in the region."
KY,"Center for Economic Education, University of Kentucky",none listed,"Focus: Partnership including two senior high schools (East and West Jessamine High), a four-year university (University of Kentucky), and the private sector (Kent Taylor, Texas Roadhouse).

Abstract: Entrepreneurial apirit has been demonstrated throughout history but sometimes that ""spirit"" doesn't work itself into the mind of the high school student. As social studies instructors, we are constantly weaving a web of connections so that our students can see the whole picture. In both American and world studies, we try to weave in geography, government, culture, the arts, and economics as well as national standards. Economics and entrepreneurship are easily integrated into the social studies curriculum. The following integration ideas show the simplicity of incorporating economics into the existing curriculum.

1.  While studying the late 1800s, students created a postage stamp research project of an American entrepreneur. As a result of their research, students decided to complete the process necessary for introducing a series idea to the U.S. Postal Service. Students created the application and letters of support for a new series, Celebrating America's Entrepreneurial Spirit.
2.  Using the case studies and biographic sketches found in the Entrepreneurs in Kentucky (EconomicsAmerica) material, students participated in a field trip to the Texas Road House Restaurant for lunch, a tour, and a question-and-answer session with Louisville entrepreneur Kent Star, founder of Texas Road House.
3.  The final assessment will be for students to design and create their own business. American studies and world studies students will be given the opportunity to create, develop, and present their ideas for a new restaurant. Students are given a theme: American studies students have the 1920s, and world studies students, the Renaissance.
Students are to create and develop a plan for their restaurant to present to a board of investors. The plans must include specific ideas for what art will be displayed, the music that will be played, foods served, dress for wait staff, and even souvenirs or premiums that will be available. All information must be historically accurate. Students gain a better understanding of the time period being studied; they learn how to organize their ideas, and how to prepare for a public presentation."
KY,"Estill County High School
Designer Tickets and More 
(Winner of ARC Springboard Award - 2002)",none listed,"Focus: Using opportunity to impact on the community

Abstract: Designer Tickets and More is a school-based enterprise developed as a supplement to the Business Management course. When a free piece of ticket-making software arrived in the mail, the idea for the venture was born.

Estill County High School was host for a district basketball tournament when the business originated in 1998, making tickets for the tournament. Students learned to work with customers in the community to meet the needs for new products. Creative thinking and problem solving skills enabled the students to expand to meet the growing needs of the community. The services requested from local business, and demand from students to participate, became so great that another entrepreneurship class was developed, enabling the business to operate year-round.

The enterprise now makes note cards, brochures, flyers, menus, business cards, bumper stickers, mugs, message boards, and many other special orders. Today the enterprise is so successful that the business' equipment now includes three computers, a sublimation printer, a color laser printer, several inkjet printers, two scanners, a labeling machine, heat presses, T-shirt making equipment, and a vinyl sign maker.

As material is covered in the classroom, the information is directly applied by the students to the operation of the business. Students developed the name of the business, company policies, operating procedures, staff positions, and evaluation procedures. The current business has co-CEOs, an office manager, three production departments, a sales department, and a marketing department. Students receive employee evaluations weekly from student department heads, the student CEOs evaluate the department heads, and the teacher evaluates the CEOs.

Students also deal directly with the business community: the sales departments calls on potential customers, the marketing department works with the local newspaper to get publicity in the community, an office supply business works with students to source supplies at discount prices, and a printing company acts as a general business resource and mentor.

Currently this program is only at the high school. However, students from this class introduced entrepreneurship to the 5th grade of the local elementary school. Under the guidance of the high school students, the elementary classes had a competition to develop a business and operate it at a school fair. Each elementary class was provided with start-up venture money, and the class with the greatest profit went on a field trip to a related business. The idea of this school-based enterprise has also been shared at state vocational conferences."
KY,"Forward in the Fifth 
Student Entrepreneurship Center",www.fif.org,"Abstract: The Student Entrepreneurship Center (SEC) is a Forward in the Fifth initiative that seeks to reinforce and broaden student education through leadership and entrepreneurial activities. An important entry into this initiative is the Student Leadership Initiative Program (SLIP). SLIP offers an opportunity for leadership development to eighth-graders who might not be involved in other school activities. In its first three years, it has demonstrated how students can take charge of their own school and community service projects when provided with guidance and a supportive atmosphere.

When they graduated to high school, several SLIP students then joined another SEC program—Educational Designs that Generate Excellence (EDGE). Through EDGE, these teenagers are exploring ideas for beginning businesses. A group in Jackson County held a trade fair where the students were able to sell their products, which ranged from jewelry and handmade bags to compact discs and raffle tickets. EDGE and the other resources available through SEC offer students, teachers, and community members a way to help students prepare for graduation by learning lifelong skills and gaining insight about how they can be contributing members of their local community.

Forward in the Fifth's vision is that members of our communities will have the educational opportunities necessary to live full and productive lives. Our mission is to: raise educational levels in the region; encourage life-long learning by providing opportunities for parents, educators, and community members; and to foster partnerships between communities and schools. Forward in the Fifth was created by and is led by people from eastern and southern Kentucky who recognize the specific educational needs of the region."
KY,Jackson County Entrepreneurship Center,none listed,"Focus: In support of the county's economic development goals, the JCEC provides residents with instruction and technical assistance that offer the knowledge and skills needed to start up and be successful in business and the understanding that self-employment is an achievable goal.

Geographic Area Served: Jackson County, Kentucky

Services: Classroom instruction, individual business consultation, resource materials, newsletter, computer access, and clerical support.

Age Levels Served: School age through adult

Key Partners: Jackson County Empowerment Zone Community, Kentucky Highlands Investment Corp., SBA, Eastern Kentucky University, Economic Development Administration, McKee/Jackson County Chamber of Commerce.

Abstract: The Jackson County Entrepreneurship Center is a Kentucky Highlands Rural Empowerment Zone initiative operated by the Jackson County EZ Community, Inc., under a contract with the Center for Economic Development, Entrepreneurship and Technology at Eastern Kentucky University.

The JCEC assists individuals with starting new businesses and expanding existing operations. The center provides formal training and ongoing technical support to entrepreneurs of Jackson County. The formal 12-week small business training classes are conducted in the spring and fall of each year. Classes are limited to 15 participants. The class helps the student learn to generate a comprehensive written business plan to guide their activities and obtain financing from lending organizations."
